,State,Opioid Dispensing Rate per 100,Year,my_state
38,Pennsylvania,75.5,2015,PA
39,Rhode Island,65.7,2015,RI
40,South Carolina,95.1,2015,SC
41,South Dakota,59.1,2015,SD
42,Tennessee,114.9,2015,TN
43,Texas,59.8,2015,TX
44,Utah,74.4,2015,UT
45,Vermont,60.1,2015,VT
46,Virginia,68.1,2015,VA
47,Washington,69.8,2015,WA
48,West Virginia,111.3,2015,WV
49,Wisconsin,67.5,2015,WI
50,Wyoming,75.4,2015,WY
0,Alabama,121.0,2016,AL
1,Alaska,58.9,2016,AK
2,Arizona,70.2,2016,AZ
3,Arkansas,114.6,2016,AR
4,California,44.8,2016,CA
5,Colorado,59.8,2016,CO
6,Connecticut,55.9,2016,CT
7,Delaware,79.2,2016,DE
8,District of Columbia,32.5,2016,DC
9,Florida,66.6,2016,FL
10,Georgia,77.8,2016,GA
11,Hawaii,41.9,2016,HI
12,Idaho,77.6,2016,ID
13,Illinois,56.8,2016,IL
14,Indiana,83.9,2016,IN
15,Iowa,64.0,2016,IA
16,Kansas,76.9,2016,KS
17,Kentucky,97.2,2016,KY
18,Louisiana,98.1,2016,LA
19,Maine,66.9,2016,ME
20,Maryland,58.7,2016,MD
21,Massachusetts,47.1,2016,MA
22,Michigan,84.9,2016,MI
23,Minnesota,46.9,2016,MN
24,Mississippi,105.6,2016,MS
25,Missouri,80.4,2016,MO
26,Montana,69.8,2016,MT
27,Nebraska,62.8,2016,NE
28,Nevada,80.7,2016,NV
29,New Hampshire,64.3,2016,NH
30,New Jersey,52.6,2016,NJ
31,New Mexico,65.1,2016,NM
32,New York,42.7,2016,NY
33,North Carolina,82.5,2016,NC
34,North Dakota,47.8,2016,ND
35,Ohio,75.3,2016,OH
36,Oklahoma,97.9,2016,OK
37,Oregon,76.3,2016,OR
38,Pennsylvania,69.5,2016,PA
39,Rhode Island,60.3,2016,RI
40,South Carolina,89.4,2016,SC
41,South Dakota,54.8,2016,SD
42,Tennessee,107.5,2016,TN
43,Texas,57.6,2016,TX
44,Utah,70.4,2016,UT
45,Vermont,58.6,2016,VT
46,Virginia,63.4,2016,VA
47,Washington,64.9,2016,WA
48,West Virginia,96.0,2016,WV
49,Wisconsin,62.2,2016,WI
50,Wyoming,71.1,2016,WY
0,United States,59.0,2017,US
1,Alaska,52.0,2017,AK
2,Alabama,108.8,2017,AL
3,Arkansas,106.1,2017,AR
4,Arizona,60.8,2017,AZ
5,California,39.8,2017,CA
6,Colorado,52.4,2017,CO
7,Connecticut,48.6,2017,CT
8,District of Columbia,28.4,2017,DC
9,Delaware,68.6,2017,DE
10,Florida,61.5,2017,FL
11,Georgia,71.3,2017,GA
12,Hawaii,38.2,2017,HI
13,Iowa,56.7,2017,IA
14,Idaho,70.3,2017,ID
15,Illinois,51.4,2017,IL
16,Indiana,75.7,2017,IN
17,Kansas,70.3,2017,KS
18,Kentucky,88.1,2017,KY
19,Louisiana,89.8,2017,LA
20,Massachusetts,40.0,2017,MA
21,Maryland,52.0,2017,MD
22,Maine,55.5,2017,ME
23,Michigan,75.5,2017,MI
24,Minnesota,40.8,2017,MN
25,Missouri,72.2,2017,MO
26,Mississippi,93.4,2017,MS
27,Montana,61.3,2017,MT
28,North Carolina,72.2,2017,NC
29,North Dakota,41.7,2017,ND
30,Nebraska,56.6,2017,NE
31,New Hampshire,52.5,2017,NH
32,New Jersey,45.0,2017,NJ
33,New Mexico,56.4,2017,NM
34,Nevada,73.2,2017,NV
35,New York,38.3,2017,NY
36,Ohio,63.8,2017,OH
37,Oklahoma,88.6,2017,OK
38,Oregon,65.8,2017,OR
39,Pennsylvania,58.3,2017,PA
40,Rhode Island,51.4,2017,RI
41,South Carolina,79.8,2017,SC
42,South Dakota,48.8,2017,SD
43,Tennessee,95.2,2017,TN
44,Texas,52.2,2017,TX
45,Utah,63.8,2017,UT
46,Virginia,53.3,2017,VA
47,Vermont,50.0,2017,VT
48,Washington,57.1,2017,WA
49,Wisconsin,52.7,2017,WI
50,West Virginia,82.2,2017,WV
51,Wyoming,64.4,2017,WY
0,United States,51.4,2018,US
1,Alaska,44.9,2018,AK
2,Alabama,97.5,2018,AL
3,Arkansas,93.5,2018,AR
4,Arizona,50.7,2018,AZ
5,California,35.1,2018,CA
6,Colorado,45.1,2018,CO
7,Connecticut,43.0,2018,CT
8,District of Columbia,25.0,2018,DC
9,Delaware,60.6,2018,DE
10,Florida,53.7,2018,FL
11,Georgia,63.2,2018,GA
12,Hawaii,33.4,2018,HI
13,Iowa,49.3,2018,IA
14,Idaho,61.9,2018,ID
15,Illinois,45.2,2018,IL
16,Indiana,65.8,2018,IN
17,Kansas,64.3,2018,KS
18,Kentucky,79.5,2018,KY
19,Louisiana,79.4,2018,LA
20,Massachusetts,35.3,2018,MA
21,Maryland,45.1,2018,MD
22,Maine,48.1,2018,ME
23,Michigan,62.7,2018,MI
24,Minnesota,35.5,2018,MN
25,Missouri,63.4,2018,MO
26,Mississippi,76.8,2018,MS
27,Montana,54.0,2018,MT
28,North Carolina,61.5,2018,NC
29,North Dakota,37.4,2018,ND
30,Nebraska,50.6,2018,NE
31,New Hampshire,46.1,2018,NH
32,New Jersey,38.9,2018,NJ
33,New Mexico,49.4,2018,NM
34,Nevada,55.5,2018,NV
35,New York,34.0,2018,NY
36,Ohio,53.5,2018,OH
37,Oklahoma,79.1,2018,OK
38,Oregon,57.3,2018,OR
39,Pennsylvania,49.9,2018,PA
40,Rhode Island,43.0,2018,RI
41,South Carolina,69.2,2018,SC
42,South Dakota,42.6,2018,SD
43,Tennessee,81.8,2018,TN
44,Texas,47.2,2018,TX
45,Utah,57.1,2018,UT
46,Virginia,44.8,2018,VA
47,Vermont,42.4,2018,VT
48,Washington,49.3,2018,WA
49,Wisconsin,45.8,2018,WI
50,West Virginia,69.3,2018,WV
51,Wyoming,57.1,2018,WY
0,United States,46.7,2019,US
1,Alaska,39.1,2019,AK
2,Alabama,85.8,2019,AL
3,Arkansas,80.9,2019,AR
4,Arizona,44.1,2019,AZ
5,California,30.9,2019,CA
6,Colorado,40.0,2019,CO
7,Connecticut,40.5,2019,CT
8,District of Columbia,39.9,2019,DC
9,Delaware,51.6,2019,DE
10,Florida,45.4,2019,FL
11,Georgia,57.9,2019,GA
12,Hawaii,30.3,2019,HI
13,Iowa,43.0,2019,IA
14,Idaho,53.4,2019,ID
15,Illinois,43.1,2019,IL
16,Indiana,60.4,2019,IN
17,Kansas,63.7,2019,KS
18,Kentucky,72.3,2019,KY
19,Louisiana,74.6,2019,LA
20,Massachusetts,35.4,2019,MA
21,Maryland,42.3,2019,MD
22,Maine,44.1,2019,ME
23,Michigan,58.0,2019,MI
24,Minnesota,32.1,2019,MN
25,Missouri,58.3,2019,MO
26,Mississippi,67.0,2019,MS
27,Montana,48.2,2019,MT
28,North Carolina,56.7,2019,NC
29,North Dakota,38.8,2019,ND
30,Nebraska,50.3,2019,NE
31,New Hampshire,38.1,2019,NH
32,New Jersey,34.8,2019,NJ
33,New Mexico,43.4,2019,NM
34,Nevada,49.4,2019,NV
35,New York,34.8,2019,NY
36,Ohio,50.8,2019,OH
37,Oklahoma,66.0,2019,OK
38,Oregon,49.1,2019,OR
39,Pennsylvania,47.0,2019,PA
40,Rhode Island,40.3,2019,RI
41,South Carolina,60.4,2019,SC
42,South Dakota,43.9,2019,SD
43,Tennessee,74.6,2019,TN
44,Texas,42.1,2019,TX
45,Utah,51.4,2019,UT
46,Virginia,40.7,2019,VA
47,Vermont,36.9,2019,VT
48,Washington,42.7,2019,WA
49,Wisconsin,42.5,2019,WI
50,West Virginia,59.4,2019,WV
51,Wyoming,49.7,2019,WY
